,reviewcontent,reviewtype,topcritic,rottentomatoeslink,movietitle,movieinfo,genres,productioncompany,manual_labels,gpt4o,llama3-8b,llama3-70b
12472,"reviewcontent: Three years ago, the Onion A.V. Club ran a list of great films that are too painful to watch twice. That list has a new Number One.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/127_hours,movietitle: 127 Hours,"movieinfo: ""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""",genres: Drama,productioncompany: Fox Searchlight,NO,NO,NO,NO
11739,"reviewcontent: If Sofia Coppola isn't the queen of slow, she's the princess of bore. Despite its sumptuous production design and cinematography, this is grotesquely superficial, slow, and boring.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/1158195-marie_antoinette,movietitle: Marie Antoinette,"movieinfo: An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.","genres: Documentary, Drama",productioncompany: Sony Pictures,NO,NO,NO,NO
6661,"reviewcontent: As is so often the case with sequels, this one feels like a retread, albeit on a bigger scale.",reviewtype: Rotten,topcritic: True,rottentomatoeslink: m/harold_and_kumar_2,movietitle: Harold & Kumar Escape from Guantanamo Bay,"movieinfo: After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
13939,"reviewcontent: Overall, it's an enjoyable sequel, although not up to the admittedly high--heh--standards of the first installment.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/harold_and_kumar_2,movietitle: Harold & Kumar Escape from Guantanamo Bay,"movieinfo: After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
7359,"reviewcontent: This almost totally fails as a comedy, with broad, unfunny, dumb jokes (such as Wilson and a young boy urinating on each other), though it's marginally better during the goopy, heartwarming parts.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/father_figures_2017,movietitle: Father Figures,"movieinfo: Brothers Kyle and Peter Reynolds were raised to believe that their dad died when they were young. They're shocked to discover that their mother lied about his death because she never knew who the biological father was. Setting out on an epic quest to find him, the two siblings soon learn more about their mom's past than they ever wanted to know.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
3204,"reviewcontent: A Good Day to Die Hard wants to be a movie about family values - a father and son, bonding over bullets and bombs - but it's really just about the value of a box-office franchise, and its value is on the wane.",reviewtype: Rotten,topcritic: True,rottentomatoeslink: m/a_good_day_to_die_hard,movietitle: A Good Day To Die Hard,"movieinfo: New York City cop John McClane (Bruce Willis) arrives in Moscow to track down his estranged son, Jack (Jai Courtney). McClane thinks his son is a criminal, so it comes as a shock when he learns that Jack is actually working undercover to protect Komarov (Sebastian Koch), a Russian government whistleblower. With their own lives on the line, McClane and Jack must overcome their differences in order to get Komarov to safety and thwart a potentially disastrous crime in the Chernobyl region.",genres: Action & Adventure,productioncompany: 20th Century Fox,NO,NO,NO,NO
11752,"reviewcontent: When the film tries to inject anything resembling high drama, it gets dumb in a hurry.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/the_lucky_one_2012,movietitle: The Lucky One,"movieinfo: U.S. Marine Sgt. Logan Thibault (Zac Efron) returns home from his third tour of duty in Iraq with the one thing he believes kept him alive: a photograph of a woman he doesn't even know. He learns the woman's name is Beth (Taylor Schilling) and goes to meet her, eventually taking a job at her family-run kennel. Though Beth is full of mistrust and leads a complicated life, a romance blooms, giving Logan hope that Beth could become more than just his good-luck charm.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
6126,"reviewcontent: Considering that it's meant to be a comedy about a TV children's show, DeVitto's picture is particularly irritating, nasty, and mean-spirited.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/death_to_smoochy,movietitle: Death to Smoochy,"movieinfo: Tells the story of Rainbow Randolph (Robin Williams), the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy (Edward Norton), a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive (Catherine Keener) - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
14629,reviewcontent: ...has the same spirit of non-stop comedy as its predecessor and strikes the same chord in the hearts of those of us who appreciate a good laugh.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/harold_and_kumar_2,movietitle: Harold & Kumar Escape from Guantanamo Bay,"movieinfo: After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
2678,"reviewcontent: Moving and inspirational, Just Mercy deserves your attention. [Full review in Spanish}",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/just_mercy,movietitle: Just Mercy,"movieinfo: After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
3708,"reviewcontent: For long stretches, [If I Stay] seems like a TV pilot for a WB show that, rightfully, did not get picked up.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/if_i_stay,movietitle: If I Stay,"movieinfo: Mia Hall (Chloë Grace Moretz), a talented young cellist, thought the most difficult decision she would ever have to make would be whether to pursue her musical dreams at prestigious Juilliard or follow her heart to be with the love of her life, Adam (Jamie Blackley), a rock singer/guitarist. However, a car wreck changes everything in an instant, and now Mia's life hangs in the balance. Suspended between life and death, Mia faces a choice that will decide her future.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
